n4,h,h,h,h,h,h,h,h,h,ih
n5,h,h,h,h,h,h,h,h,h,ih
n6,h,h,h,h,h,h,h,h,h,ih
n7,h,h,h,dh,h,h,h,h,h,ih
n8,h,dh,dh,dh,dh,h,h,h,h,ih
n9,dh,dh,dh,dh,dh,dh,dh,h,h,ih
n10,dh,dh,dh,dh,dh,dh,dh,dh,dh,idh
n11,dh,dh,dh,dh,dh,dh,dh,dh,dh,idh
n12,s,s,s,s,s,h,h,h,h,ih
n13,s,s,s,s,s,h,h,h,uh,ih
n14,s,s,s,s,s,h,h,uh,uh,iuh
n15,s,s,s,s,s,h,uh,us,us,ius
n16,s,s,s,s,s,h,us,us,us,ius
n17,s,s,s,s,s,s,s,s,s,is
n18,s,s,s,s,s,s,s,s,s,is
n19,s,s,s,s,s,s,s,s,s,is
n20,s,s,s,s,s,s,s,s,s,is
n21,s,s,s,s,s,s,s,s,s,s
a12,h,dh,dh,dh,dh,h,h,h,h,ih
a13,h,dh,dh,dh,dh,h,h,h,h,ih
a14,h,dh,dh,dh,dh,h,h,h,h,ih
a15,h,dh,dh,dh,dh,h,h,h,h,ih
a16,h,dh,dh,dh,dh,h,h,h,h,ih
a17,dh,dh,dh,dh,dh,h,h,h,h,ih
a18,ds,ds,ds,ds,ds,s,s,h,h,is
a19,ds,ds,ds,ds,ds,s,s,s,s,is
a20,s,ds,ds,ds,ds,s,s,s,s,is
a21,s,s,s,ds,ds,s,s,s,s,is
s2,p,p,p,p,p,p,p,h,h,ih
s3,p,p,p,p,p,p,h,h,h,ih
s4,h,p,p,p,p,h,h,h,h,ih
s5,dh,dh,dh,dh,dh,dh,dh,dh,dh,idh
s6,p,p,p,p,p,h,h,h,h,ih
s7,p,p,p,p,p,p,p,uh,us,iuh
s8,p,p,p,p,p,p,p,p,up,ip
s9,p,p,p,p,p,p,p,p,s,ip
s10,s,p,p,p,p,s,s,s,s,is
s11,p,p,p,p,p,p,p,p,p,ip
